,state
2018-08-16 19:40:04.894920,0.0
2018-08-16 19:40:04.908933,0.0
2018-08-16 19:40:04.913924,0.0
2018-08-16 19:40:04.917935,0.0
2018-08-16 19:40:04.921936,0.0
2018-08-16 19:40:04.926938,0.0
2018-08-16 19:40:04.930937,0.0
2018-08-16 19:40:04.934938,0.0
2018-08-16 19:40:04.938930,0.0
2018-08-16 19:40:04.942930,0.0
2018-08-16 19:40:04.946931,0.1111111111111111
2018-08-16 19:40:04.950932,0.1111111111111111
2018-08-16 19:40:04.954933,0.1111111111111111
2018-08-16 19:40:04.958935,0.1111111111111111
2018-08-16 19:40:04.961935,0.1111111111111111
2018-08-16 19:40:04.965935,0.1111111111111111
2018-08-16 19:40:04.969936,0.1111111111111111
2018-08-16 19:40:04.973937,0.1111111111111111
2018-08-16 19:40:04.977938,0.1111111111111111
2018-08-16 19:40:04.980938,0.1111111111111111
2018-08-16 19:40:04.985940,0.2222222222222222
2018-08-16 19:40:04.989940,0.2222222222222222
2018-08-16 19:40:04.992941,0.2222222222222222
2018-08-16 19:40:04.996942,0.2222222222222222
2018-08-16 19:40:05.000943,0.2222222222222222
2018-08-16 19:40:05.004944,0.2222222222222222
2018-08-16 19:40:05.008945,0.2222222222222222
2018-08-16 19:40:05.012946,0.2222222222222222
2018-08-16 19:40:05.015946,0.2222222222222222
2018-08-16 19:40:05.019947,0.2222222222222222
2018-08-16 19:40:05.024948,0.3333333333333333
2018-08-16 19:40:05.027949,0.3333333333333333
2018-08-16 19:40:05.031950,0.3333333333333333
2018-08-16 19:40:05.039952,0.3333333333333333
2018-08-16 19:40:05.044953,0.3333333333333333
2018-08-16 19:40:05.047953,0.3333333333333333
2018-08-16 19:40:05.052955,0.3333333333333333
2018-08-16 19:40:05.055955,0.3333333333333333
2018-08-16 19:40:05.059956,0.3333333333333333
2018-08-16 19:40:05.063957,0.3333333333333333
2018-08-16 19:40:05.067958,0.4444444444444444
2018-08-16 19:40:05.072959,0.4444444444444444
2018-08-16 19:40:05.075960,0.4444444444444444
2018-08-16 19:40:05.079961,0.4444444444444444
2018-08-16 19:40:05.083961,0.4444444444444444
2018-08-16 19:40:05.087962,0.4444444444444444
2018-08-16 19:40:05.091963,0.4444444444444444
2018-08-16 19:40:05.095964,0.4444444444444444
2018-08-16 19:40:05.099965,0.4444444444444444
2018-08-16 19:40:05.103966,0.4444444444444444
2018-08-16 19:40:05.107967,0.5555555555555556
2018-08-16 19:40:05.111968,0.5555555555555556
2018-08-16 19:40:05.115969,0.5555555555555556
2018-08-16 19:40:05.119970,0.5555555555555556
2018-08-16 19:40:05.124971,0.5555555555555556
2018-08-16 19:40:05.134973,0.5555555555555556
2018-08-16 19:40:05.138974,0.5555555555555556
2018-08-16 19:40:05.142975,0.5555555555555556
2018-08-16 19:40:05.145975,0.5555555555555556
2018-08-16 19:40:05.149977,0.5555555555555556
2018-08-16 19:40:05.154978,0.6666666666666666
2018-08-16 19:40:05.157978,0.6666666666666666
2018-08-16 19:40:05.162979,0.6666666666666666
2018-08-16 19:40:05.166980,0.6666666666666666
2018-08-16 19:40:05.169981,0.6666666666666666
2018-08-16 19:40:05.173981,0.6666666666666666
2018-08-16 19:40:05.177983,0.6666666666666666
2018-08-16 19:40:05.181984,0.6666666666666666
2018-08-16 19:40:05.185984,0.6666666666666666
2018-08-16 19:40:05.189985,0.6666666666666666
2018-08-16 19:40:05.192986,0.7777777777777777
2018-08-16 19:40:05.198987,0.7777777777777777
2018-08-16 19:40:05.202988,0.7777777777777777
2018-08-16 19:40:05.207989,0.7777777777777777
2018-08-16 19:40:05.210990,0.7777777777777777
2018-08-16 19:40:05.215991,0.7777777777777777
2018-08-16 19:40:05.219992,0.7777777777777777
2018-08-16 19:40:05.222992,0.7777777777777777
2018-08-16 19:40:05.226994,0.7777777777777777
2018-08-16 19:40:05.230995,0.7777777777777777
2018-08-16 19:40:05.234996,0.8888888888888888
2018-08-16 19:40:05.237997,0.8888888888888888
2018-08-16 19:40:05.241997,0.8888888888888888
2018-08-16 19:40:05.245998,0.8888888888888888
2018-08-16 19:40:05.249999,0.8888888888888888
2018-08-16 19:40:05.254000,0.8888888888888888
2018-08-16 19:40:05.257000,0.8888888888888888
2018-08-16 19:40:05.261001,0.8888888888888888
2018-08-16 19:40:05.265002,0.8888888888888888
2018-08-16 19:40:05.269003,0.8888888888888888
2018-08-16 19:40:05.278005,1.0
2018-08-16 19:40:05.282006,1.0
2018-08-16 19:40:05.286007,1.0
2018-08-16 19:40:05.290008,1.0
2018-08-16 19:40:05.294009,1.0
2018-08-16 19:40:05.298010,1.0
2018-08-16 19:40:05.301010,1.0
2018-08-16 19:40:05.305011,1.0
2018-08-16 19:40:05.309012,1.0
2018-08-16 19:40:05.313013,1.0
